X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,ObjectId
-8839463.64976185,5411882.61160318,3366651,884090,2006,2006/01/02 05:00:00+00,705,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,11,43.652892,-79.406253,Mid-Block,,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,,South,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Inattentive,,,,,,,Yes,,Yes,,,,,,,,,,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14,1
-8839463.64976185,5411882.61160318,3366652,884090,2006,2006/01/02 05:00:00+00,705,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,11,43.652892,-79.406253,Mid-Block,,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,,West,,,,,Pedestrian hit at mid-block,Crossing without right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14,2
-8842506.79068167,5412229.25349189,3370333,885782,2006,2006/01/04 05:00:00+00,1940,DUFFERIN ST,SYLVAN AVE,,Major Arterial,Toronto and East York,9,43.655145,-79.43359,Mid-Block,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,Yes,,Yes,,,,,,,,,,,83,Dufferin Grove,83,Dufferin Grove (83),D11,3
-8842506.79068167,5412229.25349189,3370334,885782,2006,2006/01/04 05:00:00+00,1940,DUFFERIN ST,SYLVAN AVE,,Major Arterial,Toronto and East York,9,43.655145,-79.43359,Mid-Block,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,75 to 79,Major,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,,,,,,83,Dufferin Grove,83,Dufferin Grove (83),D11,4
-8832963.14809698,5431005.65791909,3363337,882079,2006,2006/01/06 05:00:00+00,2210,DON MILLS RD,LEITH HILL RD,,Major Arterial,North York,17,43.777056,-79.347858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,Yes,,Yes,,,,,,,,,,,47,Don Valley Village,47,Don Valley Village (47),D33,5
-8832963.14809698,5431005.65791909,3363338,882079,2006,2006/01/06 05:00:00+00,2210,DON MILLS RD,LEITH HILL RD,,Major Arterial,North York,17,43.777056,-79.347858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,,West,,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,,,47,Don Valley Village,47,Don Valley Village (47),D33,6
-8856366.06728543,5422435.86250372,3363864,882497,2006,2006/01/08 05:00:00+00,1828,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,None,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23,7
-8856366.06728543,5422435.86250372,3363865,882497,2006,2006/01/08 05:00:00+00,1828,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,None,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23,8
-8856366.06728543,5422435.86250372,3363866,882497,2006,2006/01/08 05:00:00+00,1828,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,10 to 14,None,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23,9
-8856366.06728543,5422435.86250372,3363867,882497,2006,2006/01/08 05:00:00+00,1828,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23,10
